,price,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,lat,long,region
91072,2531.0,858.0,1.0,1.0,1,1,0,1,0,0,w/d in unit,attached garage,41.8722,-87.6307,4.0
91073,2278.0,736.0,1.0,1.0,1,1,0,1,0,0,w/d in unit,attached garage,41.8722,-87.6307,4.0
91075,3037.0,1179.0,2.0,2.0,1,1,0,1,0,0,w/d in unit,attached garage,41.9085,-87.6495,1.0
91076,2234.0,819.0,1.0,1.0,1,1,0,1,0,0,w/d in unit,attached garage,41.9085,-87.6495,1.0
91077,2064.0,752.0,1.0,1.0,1,1,0,1,0,0,w/d in unit,attached garage,41.9085,-87.6495,1.0
91078,1934.0,614.0,0.0,1.0,1,1,0,1,0,0,w/d in unit,attached garage,41.9085,-87.6495,1.0
91079,1694.0,546.0,0.0,1.0,1,1,0,1,0,0,w/d in unit,attached garage,41.9085,-87.6495,1.0
91081,1925.0,794.0,1.0,1.0,1,1,0,1,0,0,w/d in unit,attached garage,41.8671,-87.6273,4.0
91083,1400.0,1100.0,2.0,1.0,1,1,1,0,0,1,laundry in bldg,street parking,41.9471,-87.6681,5.0
91084,1575.0,1200.0,2.0,1.0,1,1,0,0,0,0,laundry in bldg,detached garage,41.9472,-87.6674,5.0
91085,1350.0,950.0,3.0,1.0,0,0,0,0,0,0,laundry on site,street parking,42.0086,-87.6947,6.0
91086,2040.0,1050.0,2.0,1.5,1,1,0,1,0,0,w/d in unit,detached garage,41.984,-87.6555,6.0
91087,1250.0,450.0,1.0,1.0,1,1,0,0,0,0,laundry in bldg,street parking,41.9756,-87.6553,0.0
91089,2576.0,2000.0,3.0,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,41.9719,-87.6624,0.0
91100,1150.0,2000.0,1.0,1.0,0,0,0,0,0,0,w/d in unit,off-street parking,41.8196,-87.6126,7.0
91106,1350.0,1750.0,3.0,1.5,0,0,0,0,0,0,w/d in unit,street parking,41.8196,-87.6126,7.0
91113,900.0,400.0,0.0,1.0,0,0,0,0,0,0,laundry on site,street parking,41.9918,-87.74799999999998,8.0
91114,2000.0,2000.0,3.0,2.0,0,0,0,0,0,0,laundry in bldg,detached garage,41.8011,-87.6057,7.0
91115,2300.0,850.0,1.0,1.0,0,0,1,0,0,0,laundry on site,no parking,41.8923,-87.6373,1.0
91116,850.0,700.0,1.0,1.0,1,0,1,0,0,0,unknown,street parking,41.9202,-87.7535,8.0
